11 	 5 	 11 	 24 	1 1 3  1 3 1  3 1 1  -3 -1 1  -1 3 -1  1 -3 -1  -3 1 -1  3 -1 -1  -1 -3 1  1 3 -1  1 -3 1  -3 1 1  3 1 -1  1 -1 3  -1 1 3  -1 3 1  -1 -3 -1  1 1 -3  -1 -1 -3  3 -1 1  -3 -1 -1  1 -1 -3  -1 1 -3  -1 -1 3  -1 -1 -3  -1 -3 -1  -3 -1 -1  3 1 -1  1 -3 1  -1 3 1  3 -1 1  -3 1 1  1 3 -1  -1 -3 1  -1 3 -1  3 -1 -1  -3 -1 1  -1 1 -3  1 -1 -3  1 -3 -1  1 3 1  -1 -1 3  1 1 3  -3 1 -1  3 1 1  -1 1 3  1 -1 3  1 1 -3  
12 	 4 	 12 	 8 	2 2 2  2 2 2  2 2 2  -2 -2 2  -2 2 -2  2 -2 -2  -2 2 -2  2 -2 -2  -2 -2 2  2 2 -2  2 -2 2  -2 2 2  2 2 -2  2 -2 2  -2 2 2  -2 2 2  -2 -2 -2  2 2 -2  -2 -2 -2  2 -2 2  -2 -2 -2  2 -2 -2  -2 2 -2  -2 -2 2  -2 -2 -2  -2 -2 -2  -2 -2 -2  2 2 -2  2 -2 2  -2 2 2  2 -2 2  -2 2 2  2 2 -2  -2 -2 2  -2 2 -2  2 -2 -2  -2 -2 2  -2 2 -2  2 -2 -2  2 -2 -2  2 2 2  -2 -2 2  2 2 2  -2 2 -2  2 2 2  -2 2 2  2 -2 2  2 2 -2  
13 	 3 	 13 	 24 	0 2 3  2 3 0  3 0 2  -3 0 2  -2 3 0  2 -3 0  -3 0 -2  3 0 -2  -2 -3 0  0 3 -2  0 -3 2  -3 2 0  3 2 0  2 0 3  -2 0 3  0 3 2  0 -3 -2  2 0 -3  -2 0 -3  3 -2 0  -3 -2 0  0 -2 -3  0 2 -3  0 -2 3  0 -2 -3  -2 -3 0  -3 0 -2  3 0 -2  2 -3 0  -2 3 0  3 0 2  -3 0 2  2 3 0  0 -3 2  0 3 -2  3 -2 0  -3 -2 0  -2 0 -3  2 0 -3  0 -3 -2  0 3 2  -2 0 3  2 0 3  -3 2 0  3 2 0  0 2 3  0 -2 3  0 2 -3  
14 	 6 	 14 	 48 	1 2 3  2 3 1  3 1 2  -3 -1 2  -2 3 -1  2 -3 -1  -3 1 -2  3 -1 -2  -2 -3 1  1 3 -2  1 -3 2  -3 2 1  3 2 -1  2 -1 3  -2 1 3  -1 3 2  -1 -3 -2  2 1 -3  -2 -1 -3  3 -2 1  -3 -2 -1  1 -2 -3  -1 2 -3  -1 -2 3  -1 -2 -3  -2 -3 -1  -3 -1 -2  3 1 -2  2 -3 1  -2 3 1  3 -1 2  -3 1 2  2 3 -1  -1 -3 2  -1 3 -2  3 -2 -1  -3 -2 1  -2 1 -3  2 -1 -3  1 -3 -2  1 3 2  -2 -1 3  2 1 3  -3 2 -1  3 2 1  -1 2 3  1 -2 3  1 2 -3  
15 	 1 	 16 	 6 	0 0 4  0 4 0  4 0 0  -4 0 0  0 4 0  0 -4 0  -4 0 0  4 0 0  0 -4 0  0 4 0  0 -4 0  -4 0 0  4 0 0  0 0 4  0 0 4  0 4 0  0 -4 0  0 0 -4  0 0 -4  4 0 0  -4 0 0  0 0 -4  0 0 -4  0 0 4  0 0 -4  0 -4 0  -4 0 0  4 0 0  0 -4 0  0 4 0  4 0 0  -4 0 0  0 4 0  0 -4 0  0 4 0  4 0 0  -4 0 0  0 0 -4  0 0 -4  0 -4 0  0 4 0  0 0 4  0 0 4  -4 0 0  4 0 0  0 0 4  0 0 4  0 0 -4  
16 	 5 	 17 	 24 	2 2 3  2 3 2  3 2 2  -3 -2 2  -2 3 -2  2 -3 -2  -3 2 -2  3 -2 -2  -2 -3 2  2 3 -2  2 -3 2  -3 2 2  3 2 -2  2 -2 3  -2 2 3  -2 3 2  -2 -3 -2  2 2 -3  -2 -2 -3  3 -2 2  -3 -2 -2  2 -2 -3  -2 2 -3  -2 -2 3  -2 -2 -3  -2 -3 -2  -3 -2 -2  3 2 -2  2 -3 2  -2 3 2  3 -2 2  -3 2 2  2 3 -2  -2 -3 2  -2 3 -2  3 -2 -2  -3 -2 2  -2 2 -3  2 -2 -3  2 -3 -2  2 3 2  -2 -2 3  2 2 3  -3 2 -2  3 2 2  -2 2 3  2 -2 3  2 2 -3  
17 	 3 	 17 	 24 	0 1 4  1 4 0  4 0 1  -4 0 1  -1 4 0  1 -4 0  -4 0 -1  4 0 -1  -1 -4 0  0 4 -1  0 -4 1  -4 1 0  4 1 0  1 0 4  -1 0 4  0 4 1  0 -4 -1  1 0 -4  -1 0 -4  4 -1 0  -4 -1 0  0 -1 -4  0 1 -4  0 -1 4  0 -1 -4  -1 -4 0  -4 0 -1  4 0 -1  1 -4 0  -1 4 0  4 0 1  -4 0 1  1 4 0  0 -4 1  0 4 -1  4 -1 0  -4 -1 0  -1 0 -4  1 0 -4  0 -4 -1  0 4 1  -1 0 4  1 0 4  -4 1 0  4 1 0  0 1 4  0 -1 4  0 1 -4  
18 	 2 	 18 	 12 	0 3 3  3 3 0  3 0 3  -3 0 3  -3 3 0  3 -3 0  -3 0 -3  3 0 -3  -3 -3 0  0 3 -3  0 -3 3  -3 3 0  3 3 0  3 0 3  -3 0 3  0 3 3  0 -3 -3  3 0 -3  -3 0 -3  3 -3 0  -3 -3 0  0 -3 -3  0 3 -3  0 -3 3  0 -3 -3  -3 -3 0  -3 0 -3  3 0 -3  3 -3 0  -3 3 0  3 0 3  -3 0 3  3 3 0  0 -3 3  0 3 -3  3 -3 0  -3 -3 0  -3 0 -3  3 0 -3  0 -3 -3  0 3 3  -3 0 3  3 0 3  -3 3 0  3 3 0  0 3 3  0 -3 3  0 3 -3  
19 	 5 	 18 	 24 	1 1 4  1 4 1  4 1 1  -4 -1 1  -1 4 -1  1 -4 -1  -4 1 -1  4 -1 -1  -1 -4 1  1 4 -1  1 -4 1  -4 1 1  4 1 -1  1 -1 4  -1 1 4  -1 4 1  -1 -4 -1  1 1 -4  -1 -1 -4  4 -1 1  -4 -1 -1  1 -1 -4  -1 1 -4  -1 -1 4  -1 -1 -4  -1 -4 -1  -4 -1 -1  4 1 -1  1 -4 1  -1 4 1  4 -1 1  -4 1 1  1 4 -1  -1 -4 1  -1 4 -1  4 -1 -1  -4 -1 1  -1 1 -4  1 -1 -4  1 -4 -1  1 4 1  -1 -1 4  1 1 4  -4 1 -1  4 1 1  -1 1 4  1 -1 4  1 1 -4  
20 	 5 	 19 	 24 	1 3 3  3 3 1  3 1 3  -3 -1 3  -3 3 -1  3 -3 -1  -3 1 -3  3 -1 -3  -3 -3 1  1 3 -3  1 -3 3  -3 3 1  3 3 -1  3 -1 3  -3 1 3  -1 3 3  -1 -3 -3  3 1 -3  -3 -1 -3  3 -3 1  -3 -3 -1  1 -3 -3  -1 3 -3  -1 -3 3  -1 -3 -3  -3 -3 -1  -3 -1 -3  3 1 -3  3 -3 1  -3 3 1  3 -1 3  -3 1 3  3 3 -1  -1 -3 3  -1 3 -3  3 -3 -1  -3 -3 1  -3 1 -3  3 -1 -3  1 -3 -3  1 3 3  -3 -1 3  3 1 3  -3 3 -1  3 3 1  -1 3 3  1 -3 3  1 3 -3  
